Popularity,Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Director,Stars,Certificate
92,Assassin's Creed: Origins,"Action, Adventure, Fantasy",8.5,"9,437",,2017,"A prequel to the Assassin's Creed Franchise set in Egypt from 48 BC where Bayek, a Medjay, begins the foundation of the Assassin's Brotherhood.","Ashraf Ismail, Laurent Bernier, Jean Guesdon,","Abubakar Salim, Alix Wilton Regan, Zora Bishop, Michael Nardone",M
93,Gotham Knights,"Action, Adventure, Crime",6.5,"1,032",,2022,"Batman is dead. A new expansive, criminal underworld has swept the streets of Gotham City. It is now up to the Batman Family; Batgirl, Nightwing, Red Hood, and Robin; to protect Gotham.","Lloyd Colaco, Alice Bernier, Geoff Ellenor, Ann Lemay, Wilson Mui, Patrick Redding,","America Young, Christopher Sean, Sloane Morgan Siegel, Stephen Oyoung",T
94,God of War III,"Action, Adventure, Fantasy",9.1,"12,108",,2010,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.","Stig Asmussen,","George Ball, Adrienne Barbeau, Susanne Blakeslee, Clancy Brown",16+
95,The Last of Us: Part I,"Action, Adventure, Drama",9.7,"5,373",,2022,"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","Matthew Gallant, Bruce Straley,","Ashley Johnson, Troy Baker, Hana Hayes, Jeffrey Pierce",M
96,Call of Duty: WWII,"Action, Drama, Horror",7.7,"7,296",,2017,You play various American servicemen and their allies in World War II as the Western Allies fight their way through Europe during and after the invasion of Normandy.,"Michael Condrey, Glen A. Schofield, Dennis Adams, István Kovács, Bret Robbins,","Josh Duhamel, Jonathan Tucker, Jeffrey Pierce, Brett Zimmerman",M
97,Call of Duty: Black Ops Cold War,"Action, Drama, Horror",7.1,"3,150",,2020,"Set during the early 80s of the Cold War, the campaign follows CIA operative Russel Adler as he pursues an alleged Soviet spy, whose goal is to subvert the United States and tilt the balance of power towards the Soviet Union.",,"David Agranov, Damon Victor Allen, Jeff Bergman, Creed Bratton",M
98,Assassin's Creed II,"Action, Adventure, History",9,"24,878",,2009,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.","Sylvain Bernard, Shea Wageman,","Roger Craig Smith, Kristen Bell, Nolan North, Fred Tatasciore",M
99,The Dark Pictures: House of Ashes,"Action, Adventure, Horror",7.7,"1,598",,2021,"A group of American marines comes across an underground nest of pure, ancient evil while trekking through the Arabian desert.","Aletta Collins, Will Doyle,","Ashley Tisdale, Paul Zinno, Alex Gravenstein, Moe Jeudy-Lamour",M
100,Overwatch 2,"Action, Adventure, Fantasy",5.7,"1,030",,2022,The sequel to 2016s vastly popular First Person Shooter arena video game Overwatch.,,"Aaron Phillips, Anjali Bhimani, Aysha Selim, Benz Antoine",T
101,Batman Begins,"Action, Adventure, Crime",8.2,"14,337",,2005,"You play as Batman and unleash your terror into the hearts of criminals, battling against foes such as Dr. Jonathan Crane/The Scarecrow, Ra's al Ghul, and Carmine ""The Roman"" Falcone.",,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",T
102,Mass Effect 3,"Action, Adventure, Drama",9.1,"16,432",,2012,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.","Casey Hudson,","Jennifer Hale, Mark Meer, Kimberly Brooks, Raphael Sbarge",M
103,The Elder Scrolls IV: Oblivion,"Action, Adventure, Fantasy",9,"12,777",,2006,"After being freed by the Emperor of Tamriel, the hero must prevent the gates of Oblivion from spreading throughout the Empire.","Todd Howard,","Sean Bean, Lynda Carter, Terence Stamp, Patrick Stewart",T
104,Midnight Suns,"Action, Adventure, Fantasy",8.4,392,,2022,"Set in the darker side of the Marvel Universe, putting you face-to-face against demonic forces of the underworld as you team up with and live among the Midnight Suns, Earth's last line of defense.","Chad Rocco, Jacob Solomon,","Elizabeth Grullon, Matthew Mercer, Rick Pasqualone, Michael Jai White",T
105,Mass Effect: Legendary Edition,"Action, Adventure, Drama",9.6,"2,597",,2021,A compilation of the first three Mass Effect games.,"Casey Hudson, Mac Walters,","Steven Barr, Kimberly Brooks, Keith David, Seth Green",M
106,Kingdom Hearts,"Action, Adventure, Family",9.2,"7,671",,2002,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.","Tetsuya Nomura,","Miyu Irino, Mamoru Miyano, Risa Uchida, Kôichi Yamadera",E
107,Heavy Rain,"Action, Crime, Drama",8.8,"14,357",,2010,"As a child goes missing, his father tirelessly works to rescue him, while a journalist, an FBI agent, and a private detective try to identify his kidnapper known only as the ""Origami Killer"".","David Cage,","Pascal Langdale, Jacqui Ainsley, Judi Beecher, Sam Douglas",M
108,Dragon Age: Inquisition,"Action, Adventure, Fantasy",8.6,"5,317",,2014,"When the Conclave is destroyed, leaving only one survivor, demons are loosed up on the world. In an attempt to restore order and save the world, the survivor--now the inquisitor-- instigates the long forgotten inquisition.","Mike Laidlaw, Pierre Michel-Estival,","Harry Hadden-Paton, Alix Wilton Regan, Jon Curry, Sumalee Montano",M
109,BioShock,"Action, Adventure, Horror",9.1,"21,192",,2007,"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.","Ken Levine,","John Ahlin, Greg Baldwin, Jane Beller, Susanne Blakeslee",M
110,Call of Duty: Black Ops II,"Action, Adventure, Horror",8,"15,079",,2012,"Set in 2025, new unmanned machines have been taken over by Nicaraguan terrorist, Raul Menendez, forcing the U.S.A. to take action.","Dave Anthony,","Sam Worthington, Michael Keaton, Michael Rooker, James C. Burns",M
111,Ratchet & Clank: Rift Apart,"Action, Adventure, Comedy",8.8,"1,847",,2021,"They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.",,"James Arnold Taylor, Jennifer Hale, David Kaye, Debra Wilson",E10+
112,Destiny 2: The Witch Queen,Action,8.1,232,,2022,Take back the light from Savathûn in an all-new story.,"Luke Smith,","Allyson Kulavis, April Stewart, Bill Nighy, Brandon O'Neill",T
113,Mafia: Definitive Edition,"Action, Crime, Drama",8.3,"3,620",,2020,The game follows Thomas Angelo where his life as a hard-working taxi driver is forever changed after a fateful run-in with the Italian Mafia.,"Alex Cox,","Andrew Bongiorno, Glenn Taranto, Steven J. Oliver, Don DiPetta",M
114,God of War II,"Action, Adventure, Fantasy",9.2,"10,254",,2007,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.","Cory Barlog,","Linda Hunt, Terrence 'T.C.' Carson, Michael Clarke Duncan, Carole Ruggier",16+
115,A Way Out,"Action, Adventure, Crime",8,"3,684",,2018,"Prison inmates Vincent and Leo initially clash, but after Vincent helps Leo win a fight, they warm up to each other and decide to escape together.","Josef Fares,","Fares Fares, Eric Krogh, Andrea Deck, Jessica Calmhede",M
116,Call of Duty: Modern Warfare 3,"Action, Thriller",8.1,"19,041",,2011,"The Russian Federation continues its invasion of the U.S., as well as Europe, including England, France and Germany.","Michael Condrey, Glen A. Schofield,","Billy Murray, Bruce Greenwood, Idris Elba, Kevin McKidd",M
117,Uncharted 2: Among Thieves,"Action, Adventure, Fantasy",9.3,"27,223",,2009,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.","Amy Hennig, Bruce Straley,","Nolan North, Emily Rose, Claudia Black, Richard McGonagle",T
118,BioShock Infinite,"Action, Adventure, Drama",9.1,"21,469",,2013,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.","Ken Levine,","Troy Baker, Courtnee Draper, Kiff VandenHeuvel, Laura Bailey",M
119,Resident Evil 4,"Action, Horror, Sci-Fi",9.2,"14,660",,2005,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.","Shinji Mikami, Kuniomi Matsushita,","Paul Mercier, Carolyn Lawrence, Rino Romano, Salli Saffioti",M
120,Forspoken,"Action, Adventure, Drama",4.7,656,,2023,A young woman named Frey Holland awakens in the land of Athia and must embark on an adventure and endure treacherous trials to uncover the mystery the land hides.,"Takeshi Aramaki, Tom Keegan,","Ella Balinska, Jonathan Cake, Monica Barbaro, Anthony Skordi",M
121,Mortal Kombat X,"Action, Adventure, Fantasy",8.2,"4,480",,2015,"Two years after the death of Shao Khan, the heroes of Earthrealm must face their fallen comrades and prevent Shinnok from corrupting the Jinsei, the source of Earthrealm's life-force.","Dominic Cianciolo,","Troy Baker, Ronald M. Banks, Steve Blum, Johnny Yong Bosch",M
122,Assassin's Creed III,"Action, Adventure, History",7.9,"18,051",,2012,"The American Colonies, 1775. It's a time of civil unrest and political upheaval in the Americas. As a Native American fights to protect his land and his people, he will ignite the flames of a young nation's revolution.","Shea Wageman,","Noah Watts, Neil Napier, Robin Atkin Downes, Adrian Hough",M
123,Resident Evil VII: Biohazard,"Action, Crime, Drama",8.6,"9,410",,2017,An ordinary man must embark on a search to find his missing wife that leads him to an abandoned house where a mysterious family lives who harbor an evil secret within the house and themselves.,"Koushi Nakanishi,","Todd Soley, Katie O'Hagan, Jack Brand, Sara Coates",M
124,Lego Star Wars: The Skywalker Saga,"Action, Adventure, Comedy",8.7,"2,465",,2022,Play through all nine Star Wars films in a LEGO Game of epic proportions.,"James McLoughlin,","A.J. LoCascio, Adam Diggle, Adam Howden, Adrian Edmondson",E10+
125,The Legend of Zelda: Breath of the Wild,"Action, Adventure, Fantasy",9.4,"9,136",,2017,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","Hidemaro Fujibayashi, Hiroki Hirano, Kentaro Tominaga,","Kengo Takanashi, Yû Shimamura, Kôji Takeda, Noboru Yamaguchi",E10+
126,Hitman 3,"Action, Crime, Mystery",8.5,"1,604",,2021,"Together with Diana Burnwood and Lucas Grey, Agent 47 must face off against The Constant and his mysterious colleagues to take down Providence once and for all.","Mattias Engström,","David Bateson, Jane Perry, John Hopkins, Philip Rosch",M
127,Twisted Metal,"Action, Crime, Fantasy",7.6,520,,1995,"On Christmas Eve of 2005, demonic Calypso is organizing his tenth annual Twisted Metal car combat deathmatch contest on the streets of L.A. Whoever wins gets to make one wish and Calypso has to grant it, but usually with a sinister twist.","Michael D. Jackson,","Charles Lance, Aimée Leigh, Dean Andre, Robert Goodens",T
128,Mafia III,"Action, Crime, Drama",7,"4,630",,2016,"After the murder of his surrogate family at the hands of the Italian mafia, Vietnam War veteran Lincoln Clay seeks vengeance on those who took away the only thing that mattered to him.",,"Alex Hernandez, Lane Compton, Gordon Greene, Rick Pasqualone",M
129,Borderlands 3,"Action, Adventure, Comedy",8,"2,260",,2019,"In this FPS/RPG, Troy and Tyreen Calypso learn of other Vaults beyond the planet Pandora, and form a violent cult named the ""Children of the Vault"" to gain possession of them, while Lilith recruits the ""Vault Hunter"" to get to them first.","Mo Davoudian, Paul Sage,","Chris Hardwick, Ice-T, Penn & Teller, SungWon Cho",M
130,Resident Evil 3,"Action, Crime, Horror",7.8,"4,796",,2020,Re-imagining of,"Yukio Ando, Yasuhiro Anpo, Kiyohiko Sakata, Yasuhiro Seto,","Nicole Tompkins, Jeff Schine, Neil Newbon, William Hope",M
131,Uncharted: The Lost Legacy,"Action, Adventure, Thriller",8.5,"8,457",,2017,"Chloe returns in The Lost Legacy on the hunt for an ancient Indian artifact, the fabled Tusk of Ganesh. To help uncover the Tusk and keep it out of the hands of a ruthless warmonger, she enlists the help of mercenary Nadine Ross.","Shaun Escayg, Kurt Margenau,","Claudia Black, Laura Bailey, Troy Baker, Usman Ally",T
132,Fallout 76,"Action, Adventure, Sci-Fi",4.4,"2,042",,2018,"Twenty-five years after the bombs fall, you and your fellow Vault Dwellers - chosen from the nation's best and brightest - emerge into post-nuclear America.","Todd Howard,","Ron Perlman, Adrienne Barbeau, Chris Anthony Lansdowne, Sunkrish Bala",M
133,Dying Light 2: Stay Human,"Action, Adventure, Horror",7.7,"1,589",,2022,"Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.","Marc Albinet, Danny Baldwin, Adrian Ciszewski, Thomas Mitchells,","Jonah Scott, Rosario Dawson, Jonathan Forbes, David Belle",M
134,Dead Island 2,"Action, Adventure, Comedy",7.7,505,,2023,"Several months after the events on Banoi, California is put under full quarantine, becoming a bloody paradise and an action-packed playground for renegades who seek adventure and glory.",,"Skye Bennett, Jay Rincon, Carolina Ravassa, Michelle Fox",M
135,Half-Life 2,"Action, Adventure, Sci-Fi",9.4,"17,003",,2004,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.","David Speyrer,","Robert Guillaume, Robert Culp, Louis Gossett Jr., Michelle Forbes",M
136,Atomic Heart,"Action, Adventure, Crime",6.4,841,,2023,A system failure at a soviet facility leads machines to rebel against humans. Major P-3's task is to eliminate the consequences of the accident and prevent the leakage of classified information threatening to destroy the whole world.,"Artyom Galeev,","Alexander Lomov, Nikita Semyonov-Prozorovskiy, Maria Rudenko, Oleg Kursachev",M
137,Metal Gear Solid,"Action, Adventure, Drama",9.6,"12,379",,1998,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.","Hideo Kojima,","David Hayter, Patric Zimmerman, Peter Lurie, Akio Ôtsuka",M
